# EBRM 新约英语核心词表
# 格式: word|中文释义|简单英文解释
# 用途: Vocabulary 步骤按"经文词义"教学，非字典式泛义
# ---------------------------------------------------------

# --- 神格与信仰核心 ---
God|神|the Creator, the LORD
Lord|主|master, the one with authority
Jesus|耶稣|the Savior's name
Christ|基督|the Anointed One, Messiah
Messiah|弥赛亚|the promised Anointed King
Spirit|圣灵;灵|the Holy Spirit, or a spirit
holy|圣洁的|set apart for God
faith|信心|trust in God
believe|相信|to trust as true
hope|盼望|confident waiting
love|爱|deep care and devotion
grace|恩典|free gift of favor
mercy|怜悯|kindness to the needy
truth|真理|what is true
peace|平安|wholeness, no conflict
joy|喜乐|deep gladness
glory|荣耀|bright honor
kingdom|国度|rule, reign of a king
heaven|天;天堂|the sky, God's dwelling
gospel|福音|good news
salvation|救恩|being saved
sin|罪|wrong against God
repentance|悔改|turning from sin
forgive|赦免|to cancel a debt of wrong
baptize|施洗|to dip, to wash in water
worship|敬拜|to honor God
pray|祷告|to speak to God
prayer|祷告|talking with God
praise|赞美|words of honor
bless|赐福|to speak good over
curse|咒诅|to speak evil over
commandment|诫命|an order to obey
law|律法|the given rules
covenant|约|a binding agreement
promise|应许|a sure word given
prophet|先知|one who speaks for God
angel|天使|a heavenly messenger
disciple|门徒|a learner, follower
apostle|使徒|one sent out
witness|见证|one who tells what he saw
testimony|见证|the report given
parable|比喻|a teaching story
miracle|神迹|a wonder beyond nature
sign|神迹;记号|a mark pointing to truth
resurrection|复活|rising from the dead
judgment|审判|the deciding of right and wrong
righteous|公义的|right with God
wicked|邪恶的|doing great wrong
unclean|不洁的|not fit for God's use
pure|纯洁的|clean, without mix
sinner|罪人|one who does wrong
saint|圣徒|one set apart for God
priest|祭司|one who serves at the altar
sacrifice|献祭;牺牲|an offering given
offering|供物|a gift brought to God
altar|祭坛|the place of offering
temple|圣殿|God's house
synagogue|会堂|the Jewish meeting house
Pharisee|法利赛人|a strict Jewish teacher
scribe|文士|a teacher of the law
Gentile|外邦人|a non-Jewish person
Israel|以色列|God's chosen people
Jerusalem|耶路撒冷|the holy city
Scripture|经文|the holy writings
prophecy|预言|a word spoken before
reveal|启示|to make known
mystery|奥秘|truth once hidden
eternal|永恒的|without end
everlasting|永远的|never ending

# --- 人物与关系 ---
man|人;男人|a human, an adult male
woman|女人|an adult female
son|儿子|a male child
daughter|女儿|a female child
father|父亲|a male parent
mother|母亲|a female parent
brother|兄弟|a male sibling
sister|姐妹|a female sibling
child|孩子|a young person
children|孩子们|young persons
people|人们|a group of persons
nation|民族;国|a people group
family|家;家族|parents and children
husband|丈夫|a married man
wife|妻子|a married woman
servant|仆人|one who serves another
master|主人|one who rules others
king|王|a male ruler
queen|王后|a female ruler
elder|长老|an older leader
neighbor|邻舍|one who lives near
stranger|陌生人|an unknown person
enemy|仇敌|one who fights against
friend|朋友|one who is close
teacher|老师|one who teaches
shepherd|牧人|one who cares for sheep
fisherman|渔夫|one who catches fish
crowd|群众|a great many people
generation|世代|the people of one age

# --- 地点与自然 ---
earth|地;大地|the ground, the world
world|世界|all that exists here
land|土地|a country, ground
sea|海|the great water
lake|湖|a body of water
river|河|flowing water
water|水|the clear liquid
mountain|山|a high land form
hill|丘陵|a small mountain
desert|旷野|a dry empty place
wilderness|旷野|an empty wild place
field|田地|open farm land
garden|园子|a planted place
vineyard|葡萄园|a field of vines
road|路|a way for travel
way|道路|a path, a manner
path|小径|a narrow way
gate|门|an opening in a wall
door|门|the way in
city|城|a large town
town|镇|a small city
village|村庄|a small settlement
house|房子|a dwelling
home|家|one's own house
palace|宫殿|a king's house
prison|监牢|a place of holding
grave|坟墓|a place of the dead
tomb|坟墓|a burial place
sky|天空|the space above
cloud|云|water in the sky
rain|雨|falling water
wind|风|moving air
storm|风暴|a strong storm
fire|火|burning heat
light|光|what lets us see
darkness|黑暗|the absence of light
